,x
1135_at,-0.394676103
39362_r_at,-0.394658706
222_at,-0.393547134
843_at,-0.392623828
36538_at,-0.392150429
41542_at,-0.392136822
36901_at,-0.391575741
40798_s_at,-0.391414182
40432_at,-0.390903332
988_at,-0.390732879
39523_at,-0.390507116
36158_at,-0.390403839
34719_at,-0.38990875
2085_s_at,-0.389819199
39814_s_at,-0.38964541
38805_at,-0.389489009
37078_at,-0.38919451
39403_at,-0.388859704
41666_at,-0.388747308
34927_at,-0.388721314
404_at,-0.388194961
40673_at,-0.387832305
38664_at,-0.387110288
34263_s_at,-0.386622156
39317_at,-0.386577602
38545_at,-0.386543835
33461_at,-0.386083176
40472_at,-0.385973404
40710_at,-0.38528969
35154_at,-0.385179535
39733_at,-0.384943129
38422_s_at,-0.384836883
36219_at,-0.384809926
922_at,-0.384458733
35811_at,-0.384408493
32186_at,-0.384395975
33203_s_at,-0.38336405
32083_at,-0.383334789
34859_at,-0.383161505
39801_at,-0.382887866
37026_at,-0.382695545
1812_s_at,-0.382382705
34684_at,-0.3823668
36151_at,-0.382331411
39113_at,-0.381305678
39387_at,-0.380633371
33316_at,-0.380251837
41549_s_at,-0.380100774
41123_s_at,-0.379778756
36386_at,-0.379773576
38688_at,-0.37943019
37005_at,-0.37933175
AFFX-BioC-5_at,-0.379046461
33919_at,-0.378836053
31608_g_at,-0.378620433
930_at,-0.378587145
32587_at,-0.378454753
32331_at,-0.378193399
36821_at,-0.377603343
38783_at,-0.377571975
33880_at,-0.377264693
36074_at,-0.377237372
40589_at,-0.376976311
32248_at,-0.376904979
32139_at,-0.376769675
32185_at,-0.376556441
40913_at,-0.376239098
35778_at,-0.376098667
38649_at,-0.37567875
36689_at,-0.375607644
37505_at,-0.375337463
32318_s_at,-0.37518044
41530_at,-0.374822239
33956_at,-0.374505118
AFFX-CreX-3_at,-0.374398811
33369_at,-0.374027372
40353_at,-0.373613063
34761_r_at,-0.373019573
213_at,-0.372944116
1761_at,-0.372486728
35415_at,-0.372452282
534_s_at,-0.371899855
AFFX-BioB-M_at,-0.371771687
201_s_at,-0.371635163
40818_at,-0.371539875
32585_at,-0.371430128
32001_s_at,-0.370927894
1896_s_at,-0.370843811
40841_at,-0.370552802
37271_at,-0.370468187
41683_i_at,-0.369521204
37579_at,-0.368478326
36673_at,-0.368216279
38918_at,-0.367786
1647_at,-0.367726967
37716_at,-0.367420982
41447_at,-0.367279889
38286_at,-0.367261113
885_g_at,-0.367175605
37751_at,-0.367009706
33810_at,-0.36634077
